# db/ai/seed/k2-coverage-standard.tsv — K2 완료 오라클의 정본 (SoT)
#
# 03-HANDOFF §1 K2 행이 못 박은 커버리지 기준을 기계가 읽는 형태로 옮긴 것이다.
#   커버리지 = ONTOLOGY-SCOPE §2.6-(1) 정본 인용 13개 + 주제 4값(문서 기준 - 토지피복·LULC) + 지명 4개
#   판정 = "핵심 어휘 미커버 0" (WORK-UNITS §8 K2 완료 정의)
#
# 이 파일은 **기준**이고, db/ai/seed/k2_ontology_seed.sql 은 **적재물**이다.
# 둘을 일부러 갈라 두었다 - 기준을 적재물에서 생성하면 체크가 항상 green 인 자동통과가 된다.
# 두 파일 모두 기획 정본에서 손으로 옮겨 적고, 체크가 그 둘을 대조한다.
#
# 형식 (탭 구분 3열):  kind <TAB> value <TAB> citation
#   kind   = method | topic | place
#   value  = 적재돼 있어야 하는 값 (method=term, topic=topic, place=place_name)
#   citation = 기획 정본에서의 출현 위치. 절대경로를 적지 않는다 (CLAUDE.md §5)
#
# 인용 표기: DM=E-00 DataModel_공통_기반 v1.8 · P04=E-04 Policy_업로드와_계보_확정 v2.2 ·
#            목업=해당 mockups/packages HTML (정본 루트 mockups/ 또는 에픽/E-0x/mockups/)
#
# 여기 없는 것을 늘리지 않는다. 정본에 근거가 없는 값은 [정본 무근거]로 sessions/K2.md §5 에 남긴다.
method	격자 보간	목업 첫사용_260817 «Lv1 (격자 보간·품질검사)» · 목업 핵심시나리오_260817 «격자 보간 → 낙동강 유역 클리핑 → 유역 평균»
method	품질검사	목업 첫사용_260817 «Lv1 (격자 보간·품질검사)» · 목업 제품_260817 «유럽중기예보센터 재분석 강수를 격자 보간·품질검사한 자료»
method	유역 클리핑	목업 제품_260817 «✦ 유역 클리핑·평균» · 목업 핵심시나리오_260817 «격자 보간 → 낙동강 유역 클리핑 → 유역 평균»
method	유역 평균	목업 제품_260817 «✦ 유역 클리핑·평균» · 목업 첫사용_260817 «값 · 유역 평균 강우량»
method	유역 집계	목업 첫사용_260817 «Lv2 (유역 집계)» · 목업 핵심시나리오_260817 «Lv2 (유역 집계)»
method	일 단위 평균	DM §4.2 가공 방식 «어떻게 만들었는지 한 줄 (예: "일 단위 평균 후 유역 경계로 잘라냄")»
method	유역 경계로 잘라냄	DM §4.2 가공 방식 «일 단위 평균 후 유역 경계로 잘라냄»
method	임계값 초과일 집계	목업 제품_260817 «✦ 임계값 초과일 집계» · 목업 E-03 데이터셋_상세_260817 «임계값 초과일 집계»
method	재격자화	목업 핵심시나리오_260817 가공 방식 입력 도움말 «여러 단계면 쉼표로 구분해요. 예: 재격자화, 편의 보정, 유역 집계»
method	편의 보정	같은 도움말 «예: 재격자화, 편의 보정, 유역 집계» · 목업 제품_260817 프로젝트명 «ERA5 재분석 강수 편의 보정 방법 비교»
method	다운스케일	목업 E-04 업로드와_계보_확정_260817 AI 근거 «0.25°→0.05° 다운스케일 흔적도 일치해요»
method	전처리	목업 핵심시나리오_260817 «Lv1 (전처리)» · «ERA5 강수 재분석 · Lv1 전처리»
method	보간 방식(선형/최근접)	목업 E-04 업로드와_계보_확정_260817 AI 근거 «보간 방식(선형/최근접)은 명시돼 있지 않아요»
topic	강우·강수	P04 §5 입력값 규칙 «주제 | 고정 목록에서 선택 (강우·강수 / 식생·NDVI / 지형·DEM / 토지피복·LULC)»
topic	식생·NDVI	P04 §5 입력값 규칙 - 같은 줄의 고정 목록
topic	지형·DEM	P04 §5 입력값 규칙 - 같은 줄의 고정 목록
topic	토지피복·LULC	P04 §5 입력값 규칙 - 같은 줄의 고정 목록 (㊸-④-2 «문서가 정본» - 목업의 유출·수문은 반영하지 않는다)
place	낙동강 유역	목업 E-02 데이터_찾기_260817 검색 근거 «'낙동강 유역'은 공간» · 검색어 «25년도 낙동강 유역 강우데이터 찾아줘»
place	한강 상류	목업 제품_260817 검색 예시 «한강 상류 DEM 원자료» · 프로젝트 «한강 상류 DEM 기반 유역 경계 재산정»
place	금강 하굿둑	목업 E-02 데이터_찾기_260817 0건 검색어 «2019년 금강 하굿둑 염분 데이터» · 목업 제품_260817 프로젝트 «금강 하굿둑 염분 확산 모의»
place	한강 유역	목업 제품_260817 연구실 한 줄 소개 «기후·수문 자료를 모아 유역 단위 물 순환을 분석하는 연구실이에요. 낙동강·한강 유역을 주로 다뤄요.»
